Date,Crude_price_per_barrel,Stocks_per_thousand_barrels,No_of_days,Utilization_percentage,Exp_thousand_barrels_per_day,Imp_thousand_barrels_per_day,Gas_price_date,Gas_price_per_gallon
09/25/1998,15.78,162362,24.7,94.8,104,9114,09/28/1998,1.037
09/18/1998,14.88,163641,24.6,96.0,104,7476,09/21/1998,1.038
09/11/1998,14.45,160886,24.0,98.9,104,8631,09/14/1998,1.026
08/28/1998,13.65,165283,24.5,100.5,106,9379,08/31/1998,1.037
08/21/1998,13.33,164842,24.2,99.8,106,8993,08/24/1998,1.042
08/14/1998,13.12,164441,24.4,99.0,106,9958,08/17/1998,1.049
07/31/1998,14.24,169290,25.3,98.4,106,9369,08/03/1998,1.061
07/24/1998,13.89,172871,25.9,99.6,105,9264,07/27/1998,1.073
07/17/1998,14.48,173779,25.5,99.5,105,9209,07/20/1998,1.082
07/10/1998,13.94,174122,26.2,100.0,105,9250,07/13/1998,1.076
06/26/1998,14.17,175082,26.8,98.1,104,10018,06/29/1998,1.081
06/19/1998,12.04,174440,27.2,98.4,104,8193,06/22/1998,1.079
06/12/1998,13.42,172483,26.7,98.2,104,8875,06/15/1998,1.087
05/29/1998,14.99,169099,26.8,99.5,104,8738,06/01/1998,1.086
05/22/1998,13.91,167047,26.4,98.1,104,7959,05/25/1998,1.09
05/15/1998,15.03,166286,26.4,96.3,104,8504,05/18/1998,1.092
04/24/1998,14.5,163269,25.4,95.8,104,7978,04/27/1998,1.073
04/17/1998,15.53,162616,25.4,98.5,104,10168,04/20/1998,1.062
04/10/1998,15.55,161681,25.7,95.6,104,8347,04/13/1998,1.058
03/27/1998,16.42,165233,27.2,94.7,102,9213,03/30/1998,1.066
03/20/1998,14.04,164898,27.6,94.2,102,8178,03/23/1998,1.038
03/13/1998,14.4,164353,27.2,93.8,102,7683,03/16/1998,1.047
02/27/1998,15.3,170920,27.9,89.6,102,7170,03/02/1998,1.065
02/20/1998,16.03,170314,27.7,89.8,102,6580,02/23/1998,1.078
02/13/1998,16.25,170863,27.7,90.3,102,8242,02/16/1998,1.072
01/30/1998,17.3,171419,28.1,92.2,103,7448,02/02/1998,1.092
01/23/1998,16.02,170683,27.9,93.3,103,8114,01/26/1998,1.095
01/16/1998,16.47,172446,27.7,94.1,103,8960,01/19/1998,1.112
12/26/1997,18.31,161801,25.0,97.1,102,6987,12/29/1997,1.139
12/19/1997,18.31,159350,25.1,96.3,102,8175,12/22/1997,1.148
12/12/1997,18.44,159478,25.2,96.5,102,7140,12/15/1997,1.158
11/28/1997,19.3,158904,25.4,96.2,101,8391,12/01/1997,1.18
11/21/1997,19.81,156934,24.4,95.5,101,7608,11/24/1997,1.19
11/14/1997,20.66,156870,24.8,92.2,101,9475,11/17/1997,1.195
10/31/1997,20.92,155861,24.2,94.8,101,7994,11/03/1997,1.202
10/24/1997,21.0,157077,24.2,94.4,102,7633,10/27/1997,1.208
10/17/1997,21.03,155854,23.8,95.9,102,8017,10/20/1997,1.218
10/10/1997,22.01,156142,24.2,98.4,102,8221,10/13/1997,1.227
09/26/1997,20.12,154139,24.3,98.1,102,8687,09/29/1997,1.233
09/19/1997,19.44,153517,23.8,98.5,101,8564,09/22/1997,1.247
09/12/1997,19.44,150058,23.1,99.0,101,9311,09/15/1997,1.258
08/29/1997,19.5,146216,22.2,99.8,102,8101,09/01/1997,1.267
08/22/1997,19.92,147933,22.7,99.3,102,8367,08/25/1997,1.268
08/15/1997,19.99,146788,22.1,97.7,102,8828,08/18/1997,1.255
07/25/1997,19.52,152758,22.6,96.0,102,8269,07/28/1997,1.203
07/18/1997,19.49,156079,23.3,96.9,102,8375,07/21/1997,1.209
07/11/1997,19.44,157279,23.6,97.9,102,7684,07/14/1997,1.203
06/27/1997,19.0,160936,25.2,97.3,102,8097,06/30/1997,1.21
06/20/1997,18.93,161467,25.4,97.7,102,7213,06/23/1997,1.217
06/13/1997,18.88,160941,25.8,97.6,102,9567,06/16/1997,1.227
05/30/1997,20.9,154804,24.9,99.0,102,8267,06/02/1997,1.243
05/23/1997,21.43,154449,24.7,98.4,102,8187,05/26/1997,1.241
05/16/1997,21.45,153163,24.7,97.4,102,7505,05/19/1997,1.233
04/25/1997,19.85,149644,24.7,92.0,99,7853,04/28/1997,1.224
04/18/1997,19.65,149597,25.0,93.2,99,8418,04/21/1997,1.228
04/11/1997,19.38,148689,25.2,93.0,99,7782,04/14/1997,1.227
03/28/1997,20.83,151171,25.6,92.8,99,7870,03/31/1997,1.231
03/21/1997,21.72,153275,25.6,93.5,98,7135,03/24/1997,1.235
03/14/1997,20.64,155084,25.5,91.1,98,7753,03/17/1997,1.231
02/28/1997,20.83,158137,26.8,89.4,98,7331,03/03/1997,1.248
02/21/1997,22.18,159978,27.7,88.8,99,7403,02/24/1997,1.257
02/14/1997,22.21,163800,28.9,87.5,99,6905,02/17/1997,1.26
01/31/1997,24.24,162575,28.3,91.3,99,7113,02/03/1997,1.27
01/24/1997,24.4,160557,27.9,89.7,398,8144,01/27/1997,1.271
01/17/1997,25.42,158935,27.1,90.6,212,7417,01/20/1997,1.275
01/10/1997,26.3,158237,26.4,91.6,284,7396,01/13/1997,1.275
12/27/1996,25.44,153479,24.1,93.8,97,7730,12/30/1996,1.263
12/20/1996,26.02,152417,24.3,94.0,211,7150,12/23/1996,1.267
12/13/1996,24.2,154356,24.5,94.0,283,7848,12/16/1996,1.272
11/29/1996,24.21,151567,24.5,94.5,96,6143,12/02/1996,1.281
11/22/1996,24.03,150390,23.8,94.6,210,7150,11/25/1996,1.284
11/15/1996,23.9,150309,23.9,93.1,282,6952,11/18/1996,1.277
10/25/1996,25.15,150080,24.0,93.8,396,8468,10/28/1996,1.256
10/18/1996,25.45,151590,24.5,93.0,97,8736,10/21/1996,1.244
10/11/1996,24.93,155394,24.9,92.7,97,7654,10/14/1996,1.241
09/27/1996,24.33,159036,25.5,95.6,197,6280,09/30/1996,1.237
09/20/1996,23.52,155955,24.4,95.6,97,7483,09/23/1996,1.241
09/13/1996,24.42,153643,23.9,94.9,97,7801,09/16/1996,1.241
08/30/1996,21.82,154087,23.9,94.2,97,7304,09/02/1996,1.232
08/23/1996,22.5,156826,24.4,94.6,96,7969,08/26/1996,1.24
08/16/1996,22.25,158240,24.9,94.0,96,9060,08/19/1996,1.238
07/26/1996,20.96,158462,24.5,93.6,96,7683,07/29/1996,1.247
07/19/1996,21.8,160249,24.3,94.4,98,7870,07/22/1996,1.254
07/12/1996,21.65,161143,24.7,94.7,98,7601,07/15/1996,1.254
06/28/1996,20.55,161284,25.0,95.3,98,8366,07/01/1996,1.258
06/21/1996,20.95,165677,26.1,95.7,98,7587,06/24/1996,1.268
06/14/1996,20.15,162379,25.8,95.1,98,8676,06/17/1996,1.28
05/31/1996,20.37,163678,26.0,95.6,98,8116,06/03/1996,1.292
05/24/1996,22.24,163784,26.2,95.2,98,6865,05/27/1996,1.299
05/17/1996,21.06,164093,26.1,92.9,99,7564,05/20/1996,1.308
05/10/1996,20.98,160562,25.8,92.9,99,8578,05/13/1996,1.301
04/26/1996,23.8,160105,26.7,93.8,100,7852,04/29/1996,1.296
04/19/1996,24.34,160328,27.1,93.3,100,7231,04/22/1996,1.282
04/12/1996,23.95,159287,26.3,93.8,100,7535,04/15/1996,1.272
03/29/1996,22.03,160490,26.2,93.1,91,7396,04/01/1996,1.21
03/22/1996,23.16,162730,26.7,90.9,91,6598,03/25/1996,1.196
03/15/1996,20.8,164246,27.2,90.5,91,6923,03/18/1996,1.167
02/23/1996,21.45,166350,27.4,89.5,88,5543,02/26/1996,1.138
02/16/1996,18.8,168209,28.0,90.4,88,7504,02/19/1996,1.118
01/26/1996,18.35,166922,28.4,90.6,87,6937,01/29/1996,1.118
01/19/1996,18.64,167475,28.6,91.6,87,7240,01/22/1996,1.124
01/12/1996,19.43,162058,26.9,91.3,87,7504,01/15/1996,1.131
12/29/1995,19.44,160817,26.6,93.2,90,6963,01/01/1996,1.116
12/22/1995,19.12,154860,25.5,92.0,90,6192,12/25/1995,1.114
12/15/1995,19.02,156542,25.9,92.7,90,6990,12/18/1995,1.111
11/24/1995,17.99,151813,24.3,91.5,92,7560,11/27/1995,1.096
11/17/1995,18.06,152089,24.0,90.5,92,8060,11/20/1995,1.095
11/10/1995,17.76,150964,24.0,88.2,92,7695,11/13/1995,1.099
10/27/1995,17.56,155886,24.9,89.7,84,6986,10/30/1995,1.102
10/20/1995,17.51,157877,25.8,90.0,88,7568,10/23/1995,1.113
10/13/1995,17.28,157513,25.6,88.5,88,7416,10/16/1995,1.121
09/29/1995,17.55,160626,25.8,94.7,85,7546,10/02/1995,1.14
09/22/1995,18.32,154591,24.6,94.2,81,7195,09/25/1995,1.146
09/15/1995,18.72,152216,24.1,96.0,81,8227,09/18/1995,1.147
08/25/1995,19.02,154925,24.0,93.3,78,7402,08/28/1995,1.154
08/18/1995,17.6,158432,24.5,93.4,78,7781,08/21/1995,1.163
08/11/1995,17.81,161626,24.9,93.5,78,8483,08/14/1995,1.162
07/28/1995,17.41,165923,25.5,94.1,81,7390,07/31/1995,1.166
07/21/1995,17.21,166352,25.5,93.5,81,6733,07/24/1995,1.179
07/14/1995,17.34,167607,25.6,94.7,81,7884,07/17/1995,1.189
06/30/1995,17.71,165529,25.4,94.8,92,7948,07/03/1995,1.209
06/23/1995,17.88,167346,25.3,96.5,91,6503,06/26/1995,1.217
06/16/1995,18.91,168086,26.1,95.9,91,9337,06/19/1995,1.224
05/26/1995,19.37,170425,26.6,95.8,95,6871,05/29/1995,1.234
05/19/1995,19.98,166985,26.3,93.9,98,7597,05/22/1995,1.232
05/12/1995,19.74,166859,26.6,91.8,98,7709,05/15/1995,1.213
04/28/1995,20.29,166822,26.8,92.8,99,8139,05/01/1995,1.181
04/21/1995,20.26,166416,26.4,93.6,99,8199,04/24/1995,1.173
04/14/1995,19.53,167991,26.9,89.5,99,6191,04/17/1995,1.149
03/31/1995,19.12,169521,27.1,88.3,102,8135,04/03/1995,1.116
03/24/1995,18.69,173898,28.9,89.1,102,6088,03/27/1995,1.102
03/17/1995,18.13,176415,29.3,89.2,102,6696,03/20/1995,1.095
03/10/1995,18.27,180559,30.2,91.0,102,8029,03/13/1995,1.096
02/24/1995,18.75,177843,30.5,89.2,101,5781,02/27/1995,1.101
02/17/1995,18.55,179730,31.4,90.2,101,6489,02/20/1995,1.093
02/10/1995,18.42,179472,31.3,89.3,101,7901,02/13/1995,1.099
01/27/1995,18.34,177741,30.5,88.8,101,6465,01/30/1995,1.109
01/20/1995,18.45,175522,29.3,90.4,100,6521,01/23/1995,1.11
01/13/1995,17.55,174547,28.1,92.7,100,6442,01/16/1995,1.102
12/30/1994,17.71,170102,26.2,93.9,99,7334,01/02/1995,1.104
12/23/1994,17.1,168641,26.3,92.8,98,6566,12/26/1994,1.088
12/16/1994,16.86,171935,27.3,92.9,98,7222,12/19/1994,1.099
11/25/1994,17.73,168748,27.7,95.3,101,7161,11/28/1994,1.175
